Block,Treatment,Sample,Upper,Lower,%  Dead,Root Weight,Rhizome Weight,Total Length (3 Cores),Notes
0,Miscanthus,6,30,50,2,0.08,0,60,
0,Miscanthus,6,50,100,<15,0.24,0,150,
0,Miscanthus,6,100,x,2,0.02,0,66,
0,Miscanthus,7,0,10,,,0,30,
0,Miscanthus,7,10,30,,,0,60,
0,Miscanthus,7,30,50,40,0.16,0,60,
0,Miscanthus,7,50,100,0,0.38,0,150,
0,Miscanthus,7,100,x,,,0,71,
0,Miscanthus,8,0,10,25,0.14,0,30,
0,Miscanthus,8,10,30,30,0.11,0,60,
0,Miscanthus,8,30,50,15,0.12,0,60,
0,Miscanthus,8,50,100,1,0.31,0,150,
0,Miscanthus,8,100,x,30,0.1,0,56,
1,Miscanthus,1,0,10,15,1.02,0,30,
1,Miscanthus,1,10,30,5,0.54,0,60,
1,Miscanthus,1,30,50,2,0.2,0,60,
1,Miscanthus,1,50,100,20,0.6,0,150,
1,Miscanthus,1,100,x,<30,0.5,0,66,
1,Miscanthus,2,0,10,10,0.65,0,30,
1,Miscanthus,2,10,30,10,0.51,0,60,
1,Miscanthus,2,30,50,10,0.3,0,60,
1,Miscanthus,2,50,100,20,0.6,0,150,
1,Miscanthus,2,100,x,15,0.25,0,105,
1,Miscanthus,3,0,10,5,0.58,0,30,
1,Miscanthus,3,10,30,5,0.38,0,60,
1,Miscanthus,3,30,50,10,0.42,0,60,
1,Miscanthus,3,50,100,,,0,150,
1,Miscanthus,3,100,x,0,0.03,0,26,
1,Miscanthus,4,0,10,,,0,30,
1,Miscanthus,4,10,30,15,0.29,0,60,
1,Miscanthus,4,30,50,,,0,60,
1,Miscanthus,4,50,100,5,0.37,0,150,
1,Miscanthus,4,100,x,,,0,54,
2,Miscanthus,1,0,10,5,0.75,5.19,30,
2,Miscanthus,1,10,30,30,0.16,0,60,
2,Miscanthus,1,30,50,1,0.19,0,60,
2,Miscanthus,1,50,100,15,0.63,0,150,
2,Miscanthus,1,100,x,30,0.23,0,99,
2,Miscanthus,2,0,10,10,0.39,0.11,30,
2,Miscanthus,2,10,30,5,1.14,2.31,60,
2,Miscanthus,2,30,50,5,0.26,0,60,
2,Miscanthus,2,50,100,20,0.31,0,150,
2,Miscanthus,2,100,x,0,0.06,0,57,
2,Miscanthus,3,0,10,5,0.87,0,30,
2,Miscanthus,3,10,30,5,0.8,0,60,
2,Miscanthus,3,30,50,5,0.48,0,60,
2,Miscanthus,3,50,100,,,0,150,
2,Miscanthus,3,100,x,10,0.29,0,84,
2,Miscanthus,4,0,10,20,0.13,0,30,
2,Miscanthus,4,10,30,45,0.08,0,60,
2,Miscanthus,4,30,50,15,0.28,0,60,
2,Miscanthus,4,50,100,5,0.64,0,150,
2,Miscanthus,4,100,x,1,0.18,0,93,
3,Miscanthus,1,0,10,10,0.61,0,30,
3,Miscanthus,1,10,30,10,0.41,0,60,
3,Miscanthus,1,30,50,5,0.11,0,60,
3,Miscanthus,1,50,100,1,0.58,0,150,
3,Miscanthus,1,100,x,1,0.14,0,54,
3,Miscanthus,2,0,10,5,1.05,4.85,30,
3,Miscanthus,2,10,30,20,0.61,1.86,60,
3,Miscanthus,2,30,50,5,0.27,0,60,
3,Miscanthus,2,50,100,1,0.71,0,150,
3,Miscanthus,2,100,x,10,0.34,0,65,
3,Miscanthus,3,0,10,5,0.98,1.81,30,
3,Miscanthus,3,10,30,10,0.43,0,60,
3,Miscanthus,3,30,50,10,0.38,0,60,
3,Miscanthus,3,50,100,10,0.44,0,134,
3,Miscanthus,3,100,x,1,0.06,0,17,
3,Miscanthus,4,0,10,10,0.48,0,30,
3,Miscanthus,4,10,30,10,0.25,0,60,
3,Miscanthus,4,30,50,2,0.15,0,60,
3,Miscanthus,4,50,100,5,0.48,0,150,
3,Miscanthus,4,100,x,5,0.42,0,84,
4,Miscanthus,1,0,10,5,0.29,2.28,30,
4,Miscanthus,1,10,30,25,0.24,0,60,
4,Miscanthus,1,30,50,1,0.1,0,60,
4,Miscanthus,1,50,100,0,0.27,0,150,
4,Miscanthus,1,100,x,15,0.09,0,90,
4,Miscanthus,2,0,10,15,0.3,0,30,
4,Miscanthus,2,10,30,5,0.61,0,60,
4,Miscanthus,2,30,50,1,0.24,0,60,
4,Miscanthus,2,50,100,2,0.47,0,150,
4,Miscanthus,2,100,x,0,0.22,0,71,
4,Miscanthus,3,0,10,5,0.41,0,30,
4,Miscanthus,3,10,30,5,0.37,1.27,60,
4,Miscanthus,3,30,50,1,0.17,0,60,
4,Miscanthus,3,50,100,40,0.4,0,150,
4,Miscanthus,3,100,x,1,0.23,0,86,
4,Miscanthus,4,0,10,25,0.31,0,30,
4,Miscanthus,4,10,30,5,0.38,0,60,
4,Miscanthus,4,30,50,2,0.48,0,60,
4,Miscanthus,4,50,100,10,0.38,0,150,
4,Miscanthus,4,100,x,1,0.36,0,87,
0,Prairie,1,0,10,33,1.05,0,30,
0,Prairie,1,10,30,15,0.34,0,60,
0,Prairie,1,30,50,5,0.22,0,60,
0,Prairie,1,50,100,0,0.16,0,150,
0,Prairie,1,100,x,,,0,84,
0,Prairie,2,0,10,40,0.53,0,30,
0,Prairie,2,10,30,10,0.14,0,60,
0,Prairie,2,30,50,2,0.1,0,60,
0,Prairie,2,50,100,0,0.06,0,150,
0,Prairie,2,100,x,0,0.01,0,49,
0,Prairie,3,0,10,40,4.42,0,30,
0,Prairie,3,10,30,40,0.35,0,60,
0,Prairie,3,30,50,40,0.19,0,60,
0,Prairie,3,50,100,30,0.26,0,150,
0,Prairie,3,100,x,10,0.09,0,109,
0,Prairie,4,0,10,5,0.62,0,30,
0,Prairie,4,10,30,50,0.33,0,60,
0,Prairie,4,30,50,20,0.12,0,60,
0,Prairie,4,50,100,10,0.09,0,150,
0,Prairie,4,100,x,10,0.06,0,99,
0,Prairie,5,0,10,25,0.71,0,30,
0,Prairie,5,10,30,30,0.4,0,60,
0,Prairie,5,30,50,25,0.15,0,60,
0,Prairie,5,50,100,,,0,150,
0,Prairie,5,100,x,5,0.03,0,92,
0,Prairie,6,0,10,20,1.22,0,30,
0,Prairie,6,10,30,20,0.4,0,60,
0,Prairie,6,30,50,20,0.27,0,60,
0,Prairie,6,50,100,10,0.18,0,150,
0,Prairie,6,100,x,5,0,0,16,
0,Prairie,7,0,10,10,0.96,0,30,
0,Prairie,7,10,30,20,0.19,0,60,
0,Prairie,7,30,50,10,0.15,0,60,
0,Prairie,7,50,100,10,0.34,0,150,
0,Prairie,7,100,x,,,0,92,
0,Prairie,8,0,10,30,2.61,0,30,
0,Prairie,8,10,30,20,0.47,0,60,
0,Prairie,8,30,50,20,0.17,0,60,
0,Prairie,8,50,100,20,0.05,0,150,
0,Prairie,8,100,x,20,0,0,79,
1,Prairie,1,0,10,10,0.33,0,30,
1,Prairie,1,10,30,25,0.39,0,60,
1,Prairie,1,30,50,20,0.12,0,60,
1,Prairie,1,50,100,0,0.23,0,150,
1,Prairie,1,100,x,3,0.02,0,78,
1,Prairie,2,0,10,20,0.75,0,30,
1,Prairie,2,10,30,15,0.79,0,60,
1,Prairie,2,30,50,5,0.23,0,60,
1,Prairie,2,50,100,0,0.17,0,150,
1,Prairie,2,100,x,10,0,0,66,
1,Prairie,3,0,10,35,0.48,0,30,
1,Prairie,3,10,30,10,0.36,0,60,
1,Prairie,3,30,50,30,0.23,0,60,
1,Prairie,3,50,100,2,0.2,0,150,
1,Prairie,3,100,x,2,0.06,0,92,
1,Prairie,4,0,10,20,0.41,0,30,
1,Prairie,4,10,30,20,0.48,0,60,
1,Prairie,4,30,50,10,0.2,0,60,
1,Prairie,4,50,100,5,0.2,0,150,
1,Prairie,4,100,x,5,0,0,74,
2,Prairie,1,0,10,10,0.22,0,30,
2,Prairie,1,10,30,2,0.2,0,60,
2,Prairie,1,30,50,15,0.14,0,60,
2,Prairie,1,50,100,,,0,150,
2,Prairie,1,100,x,2,0,0,71,
2,Prairie,2,0,10,5,0.94,0,30,
2,Prairie,2,10,30,25,0.36,0,60,
2,Prairie,2,30,50,5,0.12,0,60,
2,Prairie,2,50,100,20,0.13,0,149,
2,Prairie,2,100,x,30,0.02,0,28,
2,Prairie,3,0,10,20,2.88,0,30,
2,Prairie,3,10,30,15,0.56,0,60,
2,Prairie,3,30,50,5,0.14,0,60,
2,Prairie,3,50,100,10,0.21,0,150,
2,Prairie,3,100,x,2,0.06,0,106,
2,Prairie,4,0,10,25,3.04,0,30,
2,Prairie,4,10,30,5,0.27,0,60,
2,Prairie,4,30,50,10,0.1,0,60,
2,Prairie,4,50,100,2,0.16,0,150,
2,Prairie,4,100,x,10,0,0,48,
3,Prairie,1,0,10,60,0.98,0,30,
3,Prairie,1,10,30,40,0.72,0,60,
3,Prairie,1,30,50,10,0.27,0,60,
3,Prairie,1,50,100,20,0.42,0,150,
3,Prairie,1,100,x,5,0.09,0,62,
3,Prairie,2,0,10,50,0.59,0,30,
3,Prairie,2,10,30,30,0.29,0,60,
3,Prairie,2,30,50,30,0.16,0,60,
3,Prairie,2,50,100,40,0.21,0,150,
3,Prairie,2,100,x,5,0.02,0,98,
3,Prairie,3,0,10,30,1.48,0,30,
3,Prairie,3,10,30,30,0.34,0,60,
3,Prairie,3,30,50,15,0.15,0,60,
3,Prairie,3,50,100,10,0.2,0,150,
3,Prairie,3,100,x,5,0,0,71,
3,Prairie,4,0,10,20,0.68,0,30,
3,Prairie,4,10,30,10,0.39,0,60,
3,Prairie,4,30,50,10,0.14,0,60,
3,Prairie,4,50,100,2,0.34,0,150,
3,Prairie,4,100,x,1,0.02,0,35,
4,Prairie,1,0,10,5,0.29,0,30,
4,Prairie,1,10,30,20,0.2,0,60,
4,Prairie,1,30,50,2,0.06,0,60,
4,Prairie,1,50,100,10,0.16,0,150,
4,Prairie,1,100,x,25,0.04,0,73,
4,Prairie,2,0,10,30,2.02,0,30,
4,Prairie,2,10,30,10,0.72,0,60,
4,Prairie,2,30,50,5,0.32,0,60,
4,Prairie,2,50,100,10,0.19,0,150,
4,Prairie,2,100,x,30,0.01,0,44,
4,Prairie,3,0,10,5,0.61,0,30,
4,Prairie,3,10,30,20,0.46,0,60,
4,Prairie,3,30,50,10,0.19,0,60,
4,Prairie,3,50,100,10,0.41,0,150,
4,Prairie,3,100,x,10,0.09,0,65,
4,Prairie,4,0,10,20,3.64,0,30,
4,Prairie,4,10,30,40,0.69,0,60,
4,Prairie,4,30,50,25,0.14,0,60,
4,Prairie,4,50,100,20,0.5,0,150,
4,Prairie,4,100,x,30,0.22,0,103,
0,Switchgrass,1,0,10,10,0.5,0,30,
0,Switchgrass,1,10,30,5,0.56,0,60,
0,Switchgrass,1,30,50,0,0.19,0,60,
0,Switchgrass,1,50,100,1,0.64,0,150,
0,Switchgrass,1,100,x,0,0.13,0,80,
0,Switchgrass,2,0,10,10,1.55,0,30,
0,Switchgrass,2,10,30,10,0.47,0,60,
0,Switchgrass,2,30,50,0,0.24,0,60,
0,Switchgrass,2,50,100,1,0.56,0,150,
0,Switchgrass,2,100,x,1,0.18,0,130,
0,Switchgrass,3,0,10,10,1.1,0,30,
0,Switchgrass,3,10,30,2,0.78,0,60,
0,Switchgrass,3,30,50,2,0.26,0,60,
0,Switchgrass,3,50,100,1,0.17,0,137,
0,Switchgrass,3,100,x,50,0.01,0,15,
0,Switchgrass,4,0,10,10,0.91,0,30,
0,Switchgrass,4,10,30,1,0.61,0,60,
0,Switchgrass,4,30,50,1,0.25,0,60,
0,Switchgrass,4,50,100,5,0.27,0,150,
0,Switchgrass,4,100,x,1,0.06,0,103,
0,Switchgrass,5,0,10,0,0.34,0,30,
0,Switchgrass,5,10,30,5,0.49,0,60,
0,Switchgrass,5,30,50,0,0.36,0,60,
0,Switchgrass,5,50,100,5,0.32,0,150,
0,Switchgrass,5,100,x,0,0.01,0,122,
0,Switchgrass,6,0,10,15,0.85,0,30,
0,Switchgrass,6,10,30,0,0.79,0,60,
0,Switchgrass,6,30,50,1,0.33,0,60,
0,Switchgrass,6,50,100,0,0.49,0,150,
0,Switchgrass,6,100,x,0,0.01,0,95,
0,Switchgrass,7,0,10,2,0.58,0,30,
0,Switchgrass,7,10,30,0,0.42,0,60,
0,Switchgrass,7,30,50,0,0.23,0,60,
0,Switchgrass,7,50,100,0,0.57,0,150,
0,Switchgrass,7,100,x,1,0.29,0,112,
0,Switchgrass,8,0,10,5,0.57,0,30,
0,Switchgrass,8,10,30,3,0.63,0,60,
0,Switchgrass,8,30,50,1,0.25,0,60,
0,Switchgrass,8,50,100,5,0.38,0,150,
0,Switchgrass,8,100,x,1,0.08,0,112,
1,Switchgrass,1,0,10,10,2.66,0,30,
1,Switchgrass,1,10,30,5,0.6,0,60,
1,Switchgrass,1,30,50,1,0.35,0,60,
1,Switchgrass,1,50,100,0,0.84,0,150,
1,Switchgrass,1,100,x,10,0.28,0,62,
1,Switchgrass,2,0,10,5,0.59,0,30,
1,Switchgrass,2,10,30,1,0.49,0,60,
1,Switchgrass,2,30,50,3,0.27,0,60,
1,Switchgrass,2,50,100,0,0.32,0,150,
1,Switchgrass,2,100,x,0,0.07,0,64,
1,Switchgrass,3,0,10,20,1.21,0,30,
1,Switchgrass,3,10,30,1,0.35,0,60,
1,Switchgrass,3,30,50,0,0.17,0,60,
1,Switchgrass,3,50,100,1,0.34,0,150,
1,Switchgrass,3,100,x,1,0.05,0,73,
1,Switchgrass,4,0,10,5,5.06,0,30,
1,Switchgrass,4,10,30,1,0.78,0,60,
1,Switchgrass,4,30,50,1,0.23,0,60,
1,Switchgrass,4,50,100,1,0.35,0,150,
1,Switchgrass,4,100,x,0,0.19,0,80,
2,Switchgrass,1,0,10,2,1.88,0,30,
2,Switchgrass,1,10,30,5,0.69,0,60,
2,Switchgrass,1,30,50,0,0.24,0,60,
2,Switchgrass,1,50,100,1,0.26,0,150,
2,Switchgrass,1,100,x,0,0.05,0,90,
2,Switchgrass,2,0,10,5,2.29,0,30,
2,Switchgrass,2,10,30,1,0.64,0,60,
2,Switchgrass,2,30,50,0,0.23,0,60,
2,Switchgrass,2,50,100,0,0.34,0,150,
2,Switchgrass,2,100,x,0,0.03,0,85,
2,Switchgrass,3,0,10,0,0.87,0,30,
2,Switchgrass,3,10,30,5,0.83,0,60,
2,Switchgrass,3,30,50,1,0.33,0,60,
2,Switchgrass,3,50,100,0,0.52,0,150,
2,Switchgrass,3,100,x,0,0.09,0,83,
2,Switchgrass,4,0,10,1,0.77,0,30,
2,Switchgrass,4,10,30,1,0.55,0,60,
2,Switchgrass,4,30,50,1,0.23,0,60,
2,Switchgrass,4,50,100,0,0.28,0,150,
2,Switchgrass,4,100,x,0,0.17,0,82,
3,Switchgrass,1,0,10,5,0.65,0,30,
3,Switchgrass,1,10,30,5,0.53,0,60,
3,Switchgrass,1,30,50,1,0.35,0,60,
3,Switchgrass,1,50,100,1,0.29,0,147,
3,Switchgrass,1,100,x,0,0.06,0,29,
3,Switchgrass,2,0,10,1,3.56,0,30,
3,Switchgrass,2,10,30,1,0.87,0,60,
3,Switchgrass,2,30,50,0,0.31,0,60,
3,Switchgrass,2,50,100,0,0.31,0,150,
3,Switchgrass,2,100,x,1,0.01,0,49,
3,Switchgrass,3,0,10,5,3.39,0,30,
3,Switchgrass,3,10,30,1,0.43,0,60,
3,Switchgrass,3,30,50,0,0.25,0,60,
3,Switchgrass,3,50,100,1,0.46,0,141,
3,Switchgrass,3,100,x,0,0.02,0,13,
3,Switchgrass,4,0,10,1,0.85,0,30,
3,Switchgrass,4,10,30,5,0.44,0,60,
3,Switchgrass,4,30,50,1,0.27,0,60,
3,Switchgrass,4,50,100,1,0.34,0,150,
3,Switchgrass,4,100,x,0,0.08,0,80,
4,Switchgrass,1,0,10,10,1.32,0,30,
4,Switchgrass,1,10,30,3,0.79,0,60,
4,Switchgrass,1,30,50,0,0.33,0,60,
4,Switchgrass,1,50,100,0,0.54,0,150,
4,Switchgrass,1,100,x,1,0.13,0,80,
4,Switchgrass,2,0,10,1,0.89,0,30,
4,Switchgrass,2,10,30,10,0.84,0,60,
4,Switchgrass,2,30,50,5,0.34,0,60,
4,Switchgrass,2,50,100,0,0.36,0,150,
4,Switchgrass,2,100,x,0,0.05,0,40,
4,Switchgrass,3,0,10,10,0.41,0,30,
4,Switchgrass,3,10,30,1,0.41,0,60,
4,Switchgrass,3,30,50,5,0.26,0,60,
4,Switchgrass,3,50,100,5,0.98,0,150,
4,Switchgrass,3,100,x,1,0.39,0,85,
4,Switchgrass,4,0,10,5,1.31,0,30,
4,Switchgrass,4,10,30,1,0.82,0,60,
4,Switchgrass,4,30,50,1,0.38,0,60,
4,Switchgrass,4,50,100,1,0.36,0,150,
4,Switchgrass,4,100,x,1,0.21,0,94,
