Crop,Block,Tube number,Label code,Date imaged,Field Tech,Date Analyzed,Lab tech,Calibration image,Bad frames?,Deepest root(s),# frames with roots,Notes
Switch,4,72,4S4,2012-05-21,JNR,2013-10-09,JNR,05_21,,100,17,
Prairie,0,73,0P2,2012-05-23,JNR,2014-04-08,CRS,05_23,,110,13,
Prairie,0,74,0P3,2012-05-23,JNR,2014-04-08,CRS,05_23,,85,11,
Prairie,0,75,0P5,2012-05-23,JNR,2014-04-08,CRS,05_23,L015 glare,105,16,"Image quality L015+ isn't great (lots of blur/glare), but lots of roots!"
Prairie,0,76,0P6,2012-05-23,JNR,2014-04-09,CRS,05_23,,85,14,
Prairie,0,77,0P7,2012-05-23,JNR,2014-04-09,CRS,05_23,"L060,65 blur",105,15,
Prairie,0,78,0P9,2012-05-23,JNR,2014-04-14,CRS,05_23,,110,14,
Prairie,0,79,0P11,2012-05-23,JNR,2014-06-02,CRS,05_23,,100,17,
Prairie,0,80,0P12,2012-05-23,JNR,2014-06-02,CRS,05_23,,95,15,
Prairie,1,81,1P1,2012-05-22,JNR,2013-10-11,JNR,05_22,,75,13,
Prairie,1,82,1P2,2012-05-22,JNR,2013-10-11,JNR,05_22,,95,15,
Prairie,1,83,1P3,2012-05-22,JNR,2013-10-11,JNR,05_22,,95,13,"L001 and 005 above ground.  L015-030,045 and L055 have roots but are too obscured.   L070 half of it is too obscured.  All slides counted in total. Meausred and nunmeasured."
Prairie,1,84,1P4,2012-05-22,JNR,2013-10-11,JNR,05_22,,90,17,L001-005 above ground.  L085 has roots but is half too wet to measure the entire slide.  All slides counted in total. Measured and unmeasured.
Prairie,2,85,2P1,2012-05-22,JNR,2013-11-14,JNR,05_22,,75,14,
Prairie,2,86,2P2,2012-05-22,JNR,2013-11-14,JNR,05_22,,100,15,
Prairie,2,87,2P3,2012-05-22,JNR,2013-11-16,JNR,05_22,,80,15,
Prairie,2,88,2P4,2012-05-22,JNR,2013-11-16,JNR,05_22,,90,16,
Prairie,3,89,3P1,2012-05-21,JNR,2014-06-02,CRS,05_22,L030 blur,110,18,
Prairie,3,90,3P2,2012-05-21,JNR,2014-06-02,CRS,05_22,,90,16,
Prairie,3,91,3P3,2012-05-21,JNR,2014-06-02,CRS,05_22,,65,13,
Prairie,3,92,3P4,2012-05-21,JNR,2014-06-02,CRS,05_21,,105,,"Mud on tube; l070 ,075water"
Prairie,4,93,4P1,2012-05-21,JNR,2013-10-23,JNR,5_21,,100,11,L005 partially above ground (~10%)
Prairie,4,94,4P2,2012-05-21,JNR,2013-10-23,JNR,5_21,,95,17,
Prairie,4,95,4P3,2012-05-21,JNR,2013-10-23,JNR,5_21,,100,17,
Prairie,4,96,4P4,2012-05-21,JNR,2013-10-23,JNR,5_21,,100,13,L005 above ground (100%)
