Tube,Frame,Lab_tech,Traced_date,Any_roots,Remarks,,,,CKB_remarks
1,85,VW,2012-06-04,No,Blurry,,,,
1,86,VW,2012-06-04,No,,,,,
1,87,VW,2012-06-04,No,,,,,Add upper R
1,88,VW,2012-06-04,No,,,,,
1,89,VW,2012-06-04,No,,,,,
1,90,VW,2012-06-04,No,,,,,
1,91,VW,2012-06-04,No,,,,,
1,92,VW,2012-06-04,No,,,,,
1,93,VW,2012-06-04,Yes,,,,,
1,94,VW,2012-06-04,No,,,,,
1,95,VW,2012-06-04,No,,,,,
1,96,VW,2012-06-04,No,Blurry,,,,
1,97,VW,2012-06-04,No,,,,,
1,98,VW,2012-06-04,No,,,,,Add upper R
1,99,VW,2012-06-04,Yes,,,,,
1,100,VW,2012-06-04,No,,,,,
2,1,VW,2012-06-04,Yes,,,,,
2,2,VW,2012-06-04,Yes,,,,,
2,3,VW,2012-06-04,Yes,,,,,Add lower R
2,4,VW,2012-06-04,Yes,,,,,Add L
2,5,VW,2012-06-04,Yes,,,,,Add R
2,6,VW,2012-06-04,No,,,,,
2,7,VW,2012-06-04,Yes,,,,,
2,8,VW,2012-06-04,No,Some Water,,,,
2,9,VW,2012-06-04,No,,,,,Add vertical L
2,10,VW,2012-06-04,No,,,,,
2,11,VW,2012-06-04,No,,,,,
2,12,VW,2012-06-04,Yes,,,,,"Extend R3 right, extend bottom 3 to left"
2,13,VW,2012-06-04,No,,,,,
2,14,VW,2012-06-04,No,,,,,
2,15,VW,2012-06-04,No,,,,,Add lower middle
2,16,VW,2012-06-04,No,,,,,
2,17,VW,2012-06-04,No,,,,,
2,18,VW,2012-06-04,No,,,,,
2,19,VW,2012-06-04,Yes,,,,,Trace R2 widser
2,20,VW,2012-06-04,No,,,,,
2,21,VW,2012-06-04,No,,,,,
2,22,VW,2012-06-04,No,,,,,
2,23,VW,2012-06-04,No,,,,,
2,24,VW,2012-06-04,No,,,,,
