"Img","MeasDate","MeasTime","Experiment","Tube","Location","Date","Time","Session","DataGatherer","ImgType","PxSizeH","PxSizeV","Fungae","Undefined","Undefined.1","Undefined.2","TotLength.mm","TotProjArea.mm2","TotSurfArea.mm2","TotAvgDiam.10ths.mm","TotVolume.mm3","TotNumberOfTips","AliveLength.mm","AliveProjArea.mm2","AliveSurfArea.mm2","AliveAvgDiam.10ths.mm","AliveVolume.mm3","AliveNumberOfTips","DeadLength.mm","DeadProjArea.mm2","DeadSurfArea.mm2","DeadAvgDiam.10ths.mm","DeadVolume.mm3","DeadNumberOfTips","GoneLength.mm","GoneProjArea.mm2","GoneSurfArea.mm2","GoneAvgDiam.10ths.mm","GoneVolume.mm3","GoneNumberOfTips","NumberOfClasses","L0to0.5","L0.5to1","L1to1.5","L1.5to2","L2to2.5","L2.5to3","L3to3.5","L3.5to4","L4to4.5","Lgreaterthan4.5","SA0to0.5","SA0.5to1","SA1to1.5","SA1.5to2","SA2to2.5","SA2.5to3","SA3to3.5","SA3.5to4","SA4to4.5","SAgreaterthan4.5","PA0to0.5","PA0.5to1","PA1to1.5","PA1.5to2","PA2to2.5","PA2.5to3","PA3to3.5","PA3.5to4","PA4to4.5","PAgreaterthan4.5","V0to0.5","V0.5to1","V1to1.5","V1.5to2","V2to2.5","V2.5to3","V3to3.5","V3.5to4","V4to4.5","Vgreaterthan4.5","T0to0.5","T0.5to1","T1to1.5","T1.5to2","T2to2.5","T2.5to3","T3to3.5","T3.5to4","T4to4.5","Tgreaterthan4.5","X","ImageNotes","X.1","MeasDateTime","DateTime","Month","Block","Species","Depth","rootvol.mm3.mm2","Date.c","Depth.c"
"EF2010_T001_L030_2010.08.12_133927_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",30,2010-08-12,"133927",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",3.6245,0.3616,1.1361,0.9977,0.031,2,3.6245,0.3616,1.1361,0.9977,0.031,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2.0184,1.6061,0,0,0,0,0,0,0,0,0.4781,0.6579,0,0,0,0,0,0,0,0,0.1522,0.2094,0,0,0,0,0,0,0,0,0.0091,0.0214,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:27,"August","0","Cornsoy",35,0.000170742547264953,4.67197298601059,-24.9532079112398
"EF2010_T001_L030_2010.10.08_093310_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",30,2010-10-08,"093310",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:10,"October","0","Cornsoy",35,0,61.6719729860106,-24.9532079112398
"EF2010_T001_L035_2010.08.12_133930_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",35,2010-08-12,"133930",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:30,"August","0","Cornsoy",41,0,4.67197298601059,-18.9532079112398
"EF2010_T001_L035_2010.10.08_093312_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",35,2010-10-08,"093312",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",0.6392,0.0139,0.0435,0.2168,0,1,0.6392,0.0139,0.0435,0.2168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6392,0,0,0,0,0,0,0,0,0,0.0435,0,0,0,0,0,0,0,0,0,0.0139,0,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:12,"October","0","Cornsoy",41,0,61.6719729860106,-18.9532079112398
"EF2010_T001_L040_2010.08.12_133933_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",40,2010-08-12,"133933",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",14.7509,5.4857,17.2339,3.7189,1.606,3,2.9882,1.039,3.2643,3.4772,0.284,1,11.7627,4.4467,13.9696,3.7803,1.322,2,0,0,0,0,0,0,10,0,0,0,0,0,0,3.3471,11.4038,0,0,0,0,0,0,0,0,3.6576,13.5763,0,0,0,0,0,0,0,0,1.1643,4.3215,0,0,0,0,0,0,0,0,0.3181,1.2876,0,0,0,0,0,0,0,0,1,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:33,"August","0","Cornsoy",47,0.00884556551314565,4.67197298601059,-12.9532079112398
"EF2010_T001_L040_2010.10.08_093315_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",40,2010-10-08,"093315",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",32.214,6.6362,20.8481,2.06,1.373,4,32.214,6.6362,20.8481,2.06,1.373,4,0,0,0,0,0,0,0,0,0,0,0,0,10,4.5557,2.0904,2.0904,12.4985,0.4688,0.4688,10.0413,0,0,0,0.3629,0.4925,0.8209,7.5273,0.3314,0.405,10.908,0,0,0,0.1155,0.1568,0.2613,2.396,0.1055,0.1289,3.4721,0,0,0,0.0024,0.0092,0.0257,0.3614,0.0186,0.0278,0.9431,0,0,0,4,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:15,"October","0","Cornsoy",47,0.00760179768454388,61.6719729860106,-12.9532079112398
"EF2010_T001_L045_2010.08.12_133936_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",45,2010-08-12,"133936",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:36,"August","0","Cornsoy",53,0,4.67197298601059,-6.95320791123975
"EF2010_T001_L045_2010.10.08_093318_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",45,2010-10-08,"093318",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:18,"October","0","Cornsoy",53,0,61.6719729860106,-6.95320791123975
"EF2010_T001_L050_2010.08.12_133940_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",50,2010-08-12,"133940",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:40,"August","0","Cornsoy",58,0,4.67197298601059,-1.95320791123975
"EF2010_T001_L050_2010.10.08_093321_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",50,2010-10-08,"093321",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",5.0131,0.1087,0.3414,0.2168,0.002,2,5.0131,0.1087,0.3414,0.2168,0.002,2,0,0,0,0,0,0,0,0,0,0,0,0,10,5.0131,0,0,0,0,0,0,0,0,0,0.3414,0,0,0,0,0,0,0,0,0,0.1087,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:21,"October","0","Cornsoy",58,1.10732668383742e-05,61.6719729860106,-1.95320791123975
"EF2010_T001_L055_2010.08.12_133943_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",55,2010-08-12,"133943",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",28.1448,4.6803,14.7037,1.6629,0.694,3,28.1448,4.6803,14.7037,1.6629,0.694,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8.6904,0.5479,4.1643,14.7422,0,0,0,0,0,0,2.1372,0.2152,2.3027,10.0486,0,0,0,0,0,0,0.6803,0.0685,0.733,3.1986,0,0,0,0,0,0,0.0424,0.0067,0.1014,0.5451,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:43,"August","0","Cornsoy",64,0.00382242992909283,4.67197298601059,4.04679208876025
"EF2010_T001_L055_2010.10.08_093323_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",55,2010-10-08,"093323",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",6.3673,1.1041,3.4687,1.734,0.15,1,6.3673,1.1041,3.4687,1.734,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6.3673,0,0,0,0,0,0,0,0,0,3.4687,0,0,0,0,0,0,0,0,0,1.1041,0,0,0,0,0,0,0,0,0,0.1504,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:23,"October","0","Cornsoy",64,0.000830495012878064,61.6719729860106,4.04679208876025
"EF2010_T001_L060_2010.08.12_133946_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",60,2010-08-12,"133946",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",16.7049,7.2694,22.8375,4.3517,3.177,2,16.7049,7.2694,22.8375,4.3517,3.177,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0.1041,3.6121,1.422,5.9003,0.3073,0.2253,5.1338,0,0,0,0.0647,2.5672,1.2285,5.8394,0.3621,0.2964,12.4793,0,0,0,0.0206,0.8172,0.391,1.8587,0.1152,0.0943,3.9723,0,0,0,0.0032,0.1454,0.0845,0.4602,0.0339,0.031,2.4194,0,0,0,0,2,0,0,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:46,"August","0","Cornsoy",70,0.0174983571826051,4.67197298601059,10.0467920887602
"EF2010_T001_L060_2010.10.08_093326_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",60,2010-10-08,"093326",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",23.073,3.0434,9.561,1.319,0.424,7,23.073,3.0434,9.561,1.319,0.424,7,0,0,0,0,0,0,0,0,0,0,0,0,10,7.4945,0.2661,0.2661,15.0463,0,0,0,0,0,0,0.517,0.0627,0.1045,8.8768,0,0,0,0,0,0,0.1646,0.02,0.0333,2.8256,0,0,0,0,0,0,0.0029,0.0012,0.0033,0.418,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:26,"October","0","Cornsoy",70,0.00234753256973533,61.6719729860106,10.0467920887602
"EF2010_T001_L065_2010.08.12_133950_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",65,2010-08-12,"133950",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",47.6602,21.502,67.5504,4.5115,9.841,6,47.6602,21.502,67.5504,4.5115,9.841,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0.333,6.5473,10.045,9.984,7.5443,0.228,12.9785,0,0,0,0.207,4.5092,8.7343,10.5854,9.0251,0.3044,34.185,0,0,0,0.0659,1.4353,2.7802,3.3695,2.8728,0.0969,10.8814,0,0,0,0.0102,0.2474,0.6051,0.8946,0.8601,0.0323,7.2216,0,0,0,0,1,2,1,1,0,1,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:50,"August","0","Cornsoy",76,0.0542024970204647,4.67197298601059,16.0467920887602
"EF2010_T001_L065_2010.10.08_093329_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",65,2010-10-08,"093329",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",58.2298,12.953,40.6931,2.2245,3.617,8,58.2298,12.953,40.6931,2.2245,3.617,8,0,0,0,0,0,0,0,0,0,0,0,0,10,12.8825,3.3041,3.3041,20.5949,1.1292,1.1292,1.1292,1.1292,1.1292,12.498,0.9605,0.7785,1.2975,11.6413,0.7982,0.9756,1.1529,1.3303,1.5077,20.2505,0.3057,0.2478,0.413,3.7055,0.2541,0.3105,0.367,0.4235,0.4799,6.4459,0.006,0.0146,0.0405,0.5256,0.0449,0.0671,0.0937,0.1247,0.1602,2.6124,6,0,0,1,0,0,0,0,0,1,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:29,"October","0","Cornsoy",76,0.0200260030771997,61.6719729860106,16.0467920887602
"EF2010_T001_L070_2010.08.12_133953_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",70,2010-08-12,"133953",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",47.2286,17.7075,55.6299,3.7493,7.492,4,47.2286,17.7075,55.6299,3.7493,7.492,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12.8291,0.0402,18.0734,0.9028,3.2047,0.1311,12.0472,0,0,0,6.1343,0.0284,14.851,0.9218,3.8906,0.1751,29.6286,0,0,0,1.9526,0.009,4.7272,0.2934,1.2384,0.0557,9.4311,0,0,0,0.2334,0.0016,0.9713,0.0749,0.3761,0.0186,5.8374,0,0,0,1,0,2,0,0,0,1,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:53,"August","0","Cornsoy",82,0.0412646181970655,4.67197298601059,22.0467920887602
"EF2010_T001_L070_2010.10.08_093332_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",70,2010-10-08,"093332",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",51.7777,9.531,29.9426,1.8408,2.771,7,51.7777,9.531,29.9426,1.8408,2.771,7,0,0,0,0,0,0,0,0,0,0,0,0,10,21.6499,2.1462,2.1462,12.8752,0.3048,0.3048,0.3459,0.9492,0.9492,10.1063,1.5284,0.5057,0.8428,7.4756,0.2155,0.2633,0.3562,1.1182,1.2673,16.3697,0.4865,0.161,0.2683,2.3796,0.0686,0.0838,0.1134,0.3559,0.4034,5.2106,0.0088,0.0095,0.0263,0.3468,0.0121,0.0181,0.0292,0.1048,0.1347,2.1111,5,0,0,1,0,0,1,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:32,"October","0","Cornsoy",82,0.0153420112045674,61.6719729860106,22.0467920887602
"EF2010_T001_L075_2010.08.12_133956_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",75,2010-08-12,"133956",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",57.5702,23.0999,72.5706,4.0125,11.03,10,57.5702,23.0999,72.5706,4.0125,11.03,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3.4891,4.494,18.6107,7.7505,5.0298,1.5779,1.98,14.6383,0,0,1.1911,2.4251,12.7828,6.5964,4.9002,1.8603,2.6457,40.169,0,0,0.3791,0.7719,4.0689,2.0997,1.5598,0.5922,0.8422,12.7862,0,0,0.0324,0.1047,0.699,0.4472,0.3804,0.1746,0.2814,8.9533,0,0,1,1,2,2,2,0,1,1,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:56,"August","0","Cornsoy",88,0.0607512998816915,4.67197298601059,28.0467920887602
"EF2010_T001_L075_2010.10.08_093334_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",75,2010-10-08,"093334",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",36.3767,3.8053,11.9547,1.0461,0.997,4,36.3767,3.8053,11.9547,1.0461,0.997,4,0,0,0,0,0,0,0,0,0,0,0,0,10,24.8812,1.6204,1.6204,3.2847,0.236,0.236,0.236,0.236,0.236,3.7901,1.7351,0.3818,0.6363,1.839,0.1668,0.2039,0.2409,0.278,0.3151,6.1577,0.5523,0.1215,0.2025,0.5854,0.0531,0.0649,0.0767,0.0885,0.1003,1.96,0.0098,0.0072,0.0199,0.0823,0.0094,0.014,0.0196,0.0261,0.0335,0.7964,2,0,0,1,0,0,0,0,0,1,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:34,"October","0","Cornsoy",88,0.00552002351892953,61.6719729860106,28.0467920887602
"EF2010_T001_L080_2010.08.12_133959_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",80,2010-08-12,"133959",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",18.895,4.1263,12.9632,2.1838,0.72,2,18.895,4.1263,12.9632,2.1838,0.72,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,11.382,2.7468,4.7663,0,0,0,0,0,0,0,6.994,2.1101,3.8591,0,0,0,0,0,0,0,2.2262,0.6717,1.2284,0,0,0,0,0,0,0,0.342,0.129,0.2487,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:39:59,"August","0","Cornsoy",94,0.00396563335583117,4.67197298601059,34.0467920887602
"EF2010_T001_L080_2010.10.08_093337_005_AP.jpg",2011-11-03,"13:46:48","EF2010","1",80,2010-10-08,"093337",5,"AP","Clr",0.021307,0.022044,"-","-","-","-",25.556,0.5539,1.7402,0.2168,0.009,4,25.556,0.5539,1.7402,0.2168,0.009,4,0,0,0,0,0,0,0,0,0,0,0,0,10,25.556,0,0,0,0,0,0,0,0,0,1.7402,0,0,0,0,0,0,0,0,0,0.5539,0,0,0,0,0,0,0,0,0,0.0094,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-11-03 13:46:48,2010-10-08 09:33:37,"October","0","Cornsoy",94,4.98297007726838e-05,61.6719729860106,34.0467920887602
"EF2010_T001_L085_2010.08.12_134003_004_AP.jpg",2011-04-21,"13:42:51","EF2010","1",85,2010-08-12,"134003",4,"AP","Clr",0.021341,0.022124,"-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"",NA,2011-04-21 13:42:51,2010-08-12 13:40:03,"August","0","Cornsoy",99,0,4.67197298601059,39.0467920887602
