"","Depth","Species","Block","mean","se"
"61",6,"Miscanthus","1",0.987146655077402,0.987146655077402
"62",12,"Miscanthus","1",1.7208759250452,0.741748503177953
"63",18,"Miscanthus","1",0.562812240560213,0.562812240560213
"64",23,"Miscanthus","1",1.43732659475487,1.26306691248982
"65",29,"Miscanthus","1",2.89041239793056,2.38793239727425
"66",35,"Miscanthus","1",8.01388028645967,7.0759328735667
"67",41,"Miscanthus","1",0.445692428347427,0.445692428347427
"68",47,"Miscanthus","1",0.283856259131296,0.283856259131296
"69",53,"Miscanthus","1",1.32755190721908,1.32755190721908
"70",58,"Miscanthus","1",3.18915999772546,2.7555799149711
"71",64,"Miscanthus","1",4.7781200236725,4.26640587244674
"72",70,"Miscanthus","1",1.57579383704475,0.926862164986172
"73",76,"Miscanthus","1",0,0
"74",82,"Miscanthus","1",0,0
"75",88,"Miscanthus","1",0.964476255858192,0.964476255858192
"76",94,"Miscanthus","1",0,0
"77",99,"Miscanthus","1",2.94366984371537,2.52023169528107
"78",105,"Miscanthus","1",0.405685841489996,0.405685841489996
"79",1,"Prairie","1",0,0
"80",6,"Prairie","1",0,0
"81",12,"Prairie","1",5.6335942059739,2.11684838332293
"82",18,"Prairie","1",5.05384796039467,1.37916892660544
"83",23,"Prairie","1",3.18171961927023,1.50783755395442
"84",29,"Prairie","1",2.24261261968115,0.861612850060798
"85",35,"Prairie","1",2.35854705154261,2.03518299718475
"86",41,"Prairie","1",2.74540439620208,1.88078824106255
"87",47,"Prairie","1",3.35494390686165,1.5841436121803
"88",53,"Prairie","1",1.22152386829375,0.802925085021871
"89",58,"Prairie","1",3.2965110057929,3.2965110057929
"90",64,"Prairie","1",7.33233950320986,7.33233950320986
"91",70,"Prairie","1",3.08876251546895,2.1323404758296
"92",76,"Prairie","1",0.832105255375152,0.832105255375152
"93",82,"Prairie","1",0.628050494895981,0.628050494895981
"94",88,"Prairie","1",2.86732923233901,2.86732923233901
"95",94,"Prairie","1",1.35528134043773,1.35528134043773
"96",99,"Prairie","1",0,0
"97",105,"Prairie","1",0,0
"98",1,"Switchgrass","1",0,0
"99",6,"Switchgrass","1",1.2096594810273,0.775275231322804
"100",12,"Switchgrass","1",1.44385677044033,0.688339375301304
"101",18,"Switchgrass","1",4.22661123146248,0.993757347158239
"102",23,"Switchgrass","1",6.44843735998279,3.02087388597864
"103",29,"Switchgrass","1",9.92916917287633,6.42958629062521
"104",35,"Switchgrass","1",8.39103232949262,2.84266231416903
"105",41,"Switchgrass","1",3.32726739240869,1.45988685266168
"106",47,"Switchgrass","1",2.41923429202951,1.90668293229533
"107",53,"Switchgrass","1",7.99490361708523,6.22808568351125
"108",58,"Switchgrass","1",8.19773066220052,6.2336275437274
"109",64,"Switchgrass","1",2.17509885842095,2.17509885842095
"110",70,"Switchgrass","1",6.73614610525591,4.51803267574902
"111",76,"Switchgrass","1",6.05145136357131,6.05145136357131
"112",82,"Switchgrass","1",9.79762370513797,9.79762370513797
"113",88,"Switchgrass","1",10.7419908300361,8.55366222320826
"114",94,"Switchgrass","1",0,0
"115",99,"Switchgrass","1",2.64586419794966,2.64586419794966
"116",105,"Switchgrass","1",0,0
"117",1,"Cornsoy","2",0,0
"118",6,"Cornsoy","2",3.88354071606246,3.32771918079868
"119",12,"Cornsoy","2",0.149983628365807,0.149983628365807
"120",18,"Cornsoy","2",0.991453426490024,0.573136661944779
"121",23,"Cornsoy","2",0,0
"122",29,"Cornsoy","2",1.11031486131408,0.671354090339508
"123",35,"Cornsoy","2",0.567845792171733,0.567845792171733
"124",41,"Cornsoy","2",1.19933206706549,1.19933206706549
"125",47,"Cornsoy","2",0.347788901949496,0.347788901949496
"126",53,"Cornsoy","2",0.33566434828882,0.33566434828882
"127",58,"Cornsoy","2",0,0
"128",64,"Cornsoy","2",0,0
"129",70,"Cornsoy","2",0,0
"130",76,"Cornsoy","2",0,0
"131",82,"Cornsoy","2",0,0
"132",88,"Cornsoy","2",0,0
"133",94,"Cornsoy","2",0.285727081218721,0.285727081218721
"134",99,"Cornsoy","2",0.189632744499744,0.189632744499744
"135",105,"Cornsoy","2",0,0
"136",111,"Cornsoy","2",0,0
"137",117,"Cornsoy","2",0,0
"138",1,"Miscanthus","2",0,0
"139",6,"Miscanthus","2",2.1488299831352,1.24226700948338
"140",12,"Miscanthus","2",4.98623894535623,3.81275224130809
"141",18,"Miscanthus","2",1.26468441358598,1.26468441358598
"142",23,"Miscanthus","2",2.34633340042264,1.73629772374715
"143",29,"Miscanthus","2",5.97537534602337,3.21232589321634
"144",35,"Miscanthus","2",4.85474639638356,1.78536001764408
"145",41,"Miscanthus","2",8.16115321135944,4.8222960716446
"146",47,"Miscanthus","2",7.88175271229878,5.73786434965542
"147",53,"Miscanthus","2",9.41930744925996,4.94646035162413
"148",58,"Miscanthus","2",7.10373043545311,3.76872498751865
"149",64,"Miscanthus","2",6.39319016860824,4.39837742742749
"150",70,"Miscanthus","2",2.28816509318231,2.16674945838392
"151",76,"Miscanthus","2",1.28447603195195,1.07998394414356
"152",82,"Miscanthus","2",2.16219726334709,1.2093753833396
"153",88,"Miscanthus","2",0.226185388288401,0.226185388288401
"154",94,"Miscanthus","2",0.605327176911086,0.605327176911086
"155",99,"Miscanthus","2",0,0
"156",105,"Miscanthus","2",3.50966779396979,2.35135696937158
"157",1,"Prairie","2",0,0
"158",6,"Prairie","2",7.61851360427814,6.17468144044776
"159",12,"Prairie","2",7.95359522859196,2.76441213559576
"160",18,"Prairie","2",8.72956425732907,2.98837770614611
"161",23,"Prairie","2",8.90898004050557,4.35360407719316
"162",29,"Prairie","2",9.6085767066069,3.8612949724147
"163",35,"Prairie","2",4.52717923679692,2.50681821467232
"164",41,"Prairie","2",6.51539018232673,1.80615610718875
"165",47,"Prairie","2",4.28546748265671,4.28546748265671
"166",53,"Prairie","2",3.69075581014192,3.69075581014192
"167",58,"Prairie","2",6.91347688906444,3.76425158728169
"168",64,"Prairie","2",2.13749478352559,1.13002867365306
"169",70,"Prairie","2",3.29567488929508,2.03254278136022
"170",76,"Prairie","2",0.441892860971285,0.441892860971285
"171",82,"Prairie","2",1.3512277629863,1.3512277629863
"172",88,"Prairie","2",0,0
"173",94,"Prairie","2",0.778985398381119,0.778985398381119
"174",99,"Prairie","2",0,0
"175",105,"Prairie","2",0,0
"176",1,"Switchgrass","2",0,0
"177",6,"Switchgrass","2",0,0
"178",12,"Switchgrass","2",2.36429755741365,1.64898083935588
"179",18,"Switchgrass","2",0.93793220299088,0.93793220299088
"180",23,"Switchgrass","2",6.70002375579972,3.46422263698958
"181",29,"Switchgrass","2",4.21588988953482,2.11828592854203
"182",35,"Switchgrass","2",4.00919624660685,4.00919624660685
"183",41,"Switchgrass","2",6.14670514180329,3.26063259364628
"184",47,"Switchgrass","2",2.66469269478018,1.77950655753072
"185",53,"Switchgrass","2",4.88750664025993,4.06522697829108
"186",58,"Switchgrass","2",5.74151673671073,5.05323434885682
"187",64,"Switchgrass","2",10.3186936233263,10.3186936233263
"188",70,"Switchgrass","2",7.71891461445235,1.10926143874525
"189",76,"Switchgrass","2",4.48430798075711,4.48430798075711
"190",82,"Switchgrass","2",5.92536358453387,3.7076158528268
"191",88,"Switchgrass","2",7.70065411237351,7.70065411237351
"192",94,"Switchgrass","2",0.774758952961789,0.774758952961789
"193",99,"Switchgrass","2",3.87548816531085,3.87548816531085
"194",105,"Switchgrass","2",11.328595347648,8.82490031940866
"195",1,"Cornsoy","3",0,0
"196",6,"Cornsoy","3",0.323679404191997,0.323679404191997
"197",12,"Cornsoy","3",0.758079931715761,0.758079931715761
"198",18,"Cornsoy","3",0.377869393360969,0.377869393360969
"199",23,"Cornsoy","3",0.412739566732283,0.412739566732283
"200",29,"Cornsoy","3",0.157769546349855,0.157769546349855
"201",35,"Cornsoy","3",0.41348057134042,0.41348057134042
"202",41,"Cornsoy","3",0.100551103565019,0.100551103565019
"203",47,"Cornsoy","3",0.308010915448927,0.308010915448927
"204",53,"Cornsoy","3",0.323013573964395,0.323013573964395
"205",58,"Cornsoy","3",0,0
"206",64,"Cornsoy","3",0,0
"207",70,"Cornsoy","3",0,0
"208",76,"Cornsoy","3",0,0
"209",82,"Cornsoy","3",0,0
"210",88,"Cornsoy","3",0,0
"211",94,"Cornsoy","3",0,0
"212",99,"Cornsoy","3",0,0
"213",105,"Cornsoy","3",0,0
"214",111,"Cornsoy","3",0,0
"215",117,"Cornsoy","3",0,0
"216",1,"Miscanthus","3",0,0
"217",6,"Miscanthus","3",0,0
"218",12,"Miscanthus","3",0,0
"219",18,"Miscanthus","3",6.45107872646812,3.57785739804165
"220",23,"Miscanthus","3",7.31406987581997,3.72708923089682
"221",29,"Miscanthus","3",8.10768581113465,6.32031657511149
"222",35,"Miscanthus","3",1.76865986845349,1.34652396803707
"223",41,"Miscanthus","3",0.171612371565631,0.171612371565631
"224",47,"Miscanthus","3",2.27341287696139,1.37718415909173
"225",53,"Miscanthus","3",0,0
"226",58,"Miscanthus","3",0.554217750900344,0.554217750900344
"227",64,"Miscanthus","3",1.25095538809903,1.25095538809903
"228",70,"Miscanthus","3",0,0
"229",76,"Miscanthus","3",0.130674551765369,0.130674551765369
"230",82,"Miscanthus","3",0,0
"231",88,"Miscanthus","3",0,0
"232",94,"Miscanthus","3",0,0
"233",99,"Miscanthus","3",0,0
"234",105,"Miscanthus","3",0,0
"235",1,"Prairie","3",0,0
"236",6,"Prairie","3",5.16536055696997,2.49618857114274
"237",12,"Prairie","3",4.4471230469381,2.690555425709
"238",18,"Prairie","3",10.506317727674,6.35528245988602
"239",23,"Prairie","3",3.21500421076185,2.88555968350666
"240",29,"Prairie","3",4.12599957168431,1.49477643438881
"241",35,"Prairie","3",5.42188776094921,1.61057270601845
"242",41,"Prairie","3",5.29530484332442,2.10634902538045
"243",47,"Prairie","3",3.69109430189124,2.46884802258021
"244",53,"Prairie","3",1.95320223347125,1.05728154056334
"245",58,"Prairie","3",4.05230720036495,1.87312789900177
"246",64,"Prairie","3",0.655746121412326,0.50687993292176
"247",70,"Prairie","3",3.60477263464189,1.9017291249497
"248",76,"Prairie","3",2.0412421722757,1.35961361641575
"249",82,"Prairie","3",0,0
"250",88,"Prairie","3",3.16633416896364,1.17144363784218
"251",94,"Prairie","3",1.87030637013489,1.4590576335675
"252",99,"Prairie","3",1.2775456404142,1.2775456404142
"253",105,"Prairie","3",0.269253152684198,0.269253152684198
"254",1,"Switchgrass","3",0,0
"255",6,"Switchgrass","3",0.885697392006014,0.885697392006014
"256",12,"Switchgrass","3",2.90919125101049,1.92660123416016
"257",18,"Switchgrass","3",4.44197539173761,2.28208090520363
"258",23,"Switchgrass","3",2.06903521467944,2.06903521467944
"259",29,"Switchgrass","3",4.63843110620406,0.393266308459277
"260",35,"Switchgrass","3",2.75380222671093,1.29619347681482
"261",41,"Switchgrass","3",1.0882672894227,0.563742960166465
"262",47,"Switchgrass","3",1.36009784943955,1.36009784943955
"263",53,"Switchgrass","3",1.30615844153903,1.30615844153903
"264",58,"Switchgrass","3",1.54900748799319,0.774606817805691
"265",64,"Switchgrass","3",0.981176014751081,0.981176014751081
"266",70,"Switchgrass","3",0,0
"267",76,"Switchgrass","3",0,0
"268",82,"Switchgrass","3",0,0
"269",88,"Switchgrass","3",0,0
"270",94,"Switchgrass","3",1.97051381938889,1.23169409222892
"271",99,"Switchgrass","3",0,0
"272",105,"Switchgrass","3",1.10789854193972,1.10789854193972
"273",1,"Miscanthus","4",0,0
"274",6,"Miscanthus","4",4.40343599264967,1.5812144562267
"275",12,"Miscanthus","4",6.27682451238652,3.7903133942716
"276",18,"Miscanthus","4",5.80273191193995,3.36044914935827
"277",23,"Miscanthus","4",2.196928314365,1.27599725781116
"278",29,"Miscanthus","4",3.79722978801033,1.51059215975271
"279",35,"Miscanthus","4",1.63201432303415,1.26163650259846
"280",41,"Miscanthus","4",1.77844327712035,1.00304055781809
"281",47,"Miscanthus","4",0.389177768032972,0.389177768032972
"282",53,"Miscanthus","4",5.82760389270002,4.33313818331953
"283",58,"Miscanthus","4",5.0977036144879,4.88521102709749
"284",64,"Miscanthus","4",2.24492178673839,1.30292127232757
"285",70,"Miscanthus","4",0.403224637995916,0.403224637995916
"286",76,"Miscanthus","4",1.86109213892066,1.86109213892066
"287",82,"Miscanthus","4",0,0
"288",88,"Miscanthus","4",0,0
"289",94,"Miscanthus","4",0,0
"290",99,"Miscanthus","4",0,0
"291",105,"Miscanthus","4",0,0
"292",1,"Prairie","4",0,0
"293",6,"Prairie","4",0,0
"294",12,"Prairie","4",6.0664758564506,4.41964998810958
"295",18,"Prairie","4",7.76422480566456,5.35160950421239
"296",23,"Prairie","4",6.05265450962927,2.6445999024099
"297",29,"Prairie","4",9.15394136103515,5.85207892204785
"298",35,"Prairie","4",8.36606015703562,7.60035940587041
"299",41,"Prairie","4",7.7014541979173,3.78400116415891
"300",47,"Prairie","4",12.5960795929868,3.59390666479281
"301",53,"Prairie","4",5.06578672035192,2.61187722511405
"302",58,"Prairie","4",13.0561575410621,0.460857945006303
"303",64,"Prairie","4",4.72590186755588,2.19556002945412
"304",70,"Prairie","4",7.58787644812518,4.0596194135931
"305",76,"Prairie","4",2.31335195142025,1.51099416593344
"306",82,"Prairie","4",3.30654512785982,2.85950637512634
"307",88,"Prairie","4",1.96033306042492,1.80185076724075
"308",94,"Prairie","4",0.711181857458746,0.711181857458746
"309",99,"Prairie","4",0,0
"310",105,"Prairie","4",0,0
"311",1,"Switchgrass","4",0,0
"312",6,"Switchgrass","4",3.20649876656411,1.2586608108546
"313",12,"Switchgrass","4",5.6159235763089,2.6676083170648
"314",18,"Switchgrass","4",8.93959772373362,2.7223680111679
"315",23,"Switchgrass","4",17.0684397533904,4.84557986821659
"316",29,"Switchgrass","4",6.28505073745657,1.31954858151722
"317",35,"Switchgrass","4",12.6619216111388,6.18420552179904
"318",41,"Switchgrass","4",14.5756358164344,8.41055604664844
"319",47,"Switchgrass","4",11.5782077413371,5.64402312643706
"320",53,"Switchgrass","4",10.2153606574094,7.65650068846369
"321",58,"Switchgrass","4",6.72528264907045,4.23157963773255
"322",64,"Switchgrass","4",15.9301278049254,5.5005050478736
"323",70,"Switchgrass","4",7.99159508919319,6.69424937246892
"324",76,"Switchgrass","4",17.5098744550929,8.74894923669857
"325",82,"Switchgrass","4",19.1197338142635,11.2641574651441
"326",88,"Switchgrass","4",6.43290800477294,3.41965463140651
"327",94,"Switchgrass","4",0.746674904268784,0.746674904268784
"328",99,"Switchgrass","4",2.71314004630597,1.59022291573454
"329",105,"Switchgrass","4",1.87974612449072,1.54895022670282
