"","Img","MeasDate","MeasTime","Tube","Location","PxSizeH","PxSizeV","TotLength.mm","TotProjArea.mm2","TotSurfArea.mm2","TotAvgDiam.10ths.mm","TotVolume.mm3","TotNumberOfTips","AliveLength.mm","AliveProjArea.mm2","AliveSurfArea.mm2","AliveAvgDiam.10ths.mm","AliveVolume.mm3","AliveNumberOfTips","DeadLength.mm","DeadProjArea.mm2","DeadSurfArea.mm2","DeadAvgDiam.10ths.mm","DeadVolume.mm3","DeadNumberOfTips","GoneLength.mm","GoneProjArea.mm2","GoneSurfArea.mm2","GoneAvgDiam.10ths.mm","GoneVolume.mm3","GoneNumberOfTips","NumberOfClasses","L0to0.5","L0.5to1","L1to1.5","L1.5to2","L2to2.5","L2.5to3","L3to3.5","L3.5to4","L4to4.5","Lgreaterthan4.5","SA0to0.5","SA0.5to1","SA1to1.5","SA1.5to2","SA2to2.5","SA2.5to3","SA3to3.5","SA3.5to4","SA4to4.5","SAgreaterthan4.5","PA0to0.5","PA0.5to1","PA1to1.5","PA1.5to2","PA2to2.5","PA2.5to3","PA3to3.5","PA3.5to4","PA4to4.5","PAgreaterthan4.5","V0to0.5","V0.5to1","V1to1.5","V1.5to2","V2to2.5","V2.5to3","V3to3.5","V3.5to4","V4to4.5","Vgreaterthan4.5","T0to0.5","T0.5to1","T1to1.5","T1.5to2","T2to2.5","T2.5to3","T3to3.5","T3.5to4","T4to4.5","Tgreaterthan4.5","Crop","RepSet","AnyRootsRef","AnyRootsLog","AnyRootsTrace","Subject","Frame","RinC","ImgID"
"42","CONSISTEST_T001_L042_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,42,0.024129,0.025157,5.692,1.4516,4.5603,2.5502,0.318,2,5.692,1.4516,4.5603,2.5502,0.318,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3.4526,0.2969,0.2969,0.2969,1.3487,0,0,0,0,0,2.1384,0.2099,0.2565,0.3031,1.6523,0,0,0,0,0,0.6807,0.0668,0.0816,0.0965,0.526,0,0,0,0,0,0.1054,0.0118,0.0176,0.0246,0.1612,0,0,0,0,0,2,0,0,0,0,0,0,"Switch",9,"y","y","y","AP","42","3","29"
"43","CONSISTEST_T001_L043_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,43,0.024129,0.025157,1.4292,0.0352,0.1106,0.2464,0.001,1,1.4292,0.0352,0.1106,0.2464,0.001,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1.4292,0,0,0,0,0,0,0,0,0,0.1106,0,0,0,0,0,0,0,0,0,0.0352,0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Misc",6,"y","y","y","AP","43","3","43"
"44","CONSISTEST_T001_L044_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,44,0.024129,0.025157,20.1328,3.4776,10.9253,1.7273,0.517,3,20.1328,3.4776,10.9253,1.7273,0.517,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2.1328,0.588,0.588,16.8241,0,0,0,0,0,0,0.177,0.1385,0.2309,10.3789,0,0,0,0,0,0,0.0563,0.0441,0.0735,3.3037,0,0,0,0,0,0,0.0012,0.0026,0.0072,0.5097,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,"Prairie",12,"y","y","y","AP","44","3","28"
"50","CONSISTEST_T001_L050_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,50,0.024129,0.025157,18.1719,2.2743,7.145,1.2516,0.327,2,18.1719,2.2743,7.145,1.2516,0.327,2,0,0,0,0,0,0,0,0,0,0,0,0,10,7.5835,0,0,10.5884,0,0,0,0,0,0,0.5871,0,0,6.5579,0,0,0,0,0,0,0.1869,0,0,2.0874,0,0,0,0,0,0,0.0036,0,0,0.3232,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Misc",4,"y","y","y","AP","50","1","40"
"55","CONSISTEST_T001_L055_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,55,0.024129,0.025157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",1,"y","n","n","AP","55","1","55"
"57","CONSISTEST_T001_L057_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,57,0.024129,0.025157,34.8446,3.8468,12.0852,1.104,0.519,6,34.8446,3.8468,12.0852,1.104,0.519,6,0,0,0,0,0,0,0,0,0,0,0,0,10,16.1742,1.6478,1.6478,10.6357,4.739,0,0,0,0,0,1.2855,0.3883,0.6471,6.4723,3.2921,0,0,0,0,0,0.4092,0.1236,0.206,2.0602,1.0479,0,0,0,0,0,0.0082,0.0073,0.0202,0.314,0.182,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,"Switch",8,"y","y","y","AP","57","2","8"
"59","CONSISTEST_T001_L059_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,59,0.024129,0.025157,35.2805,4.293,13.4868,1.2168,0.623,6,35.2805,4.293,13.4868,1.2168,0.623,6,0,0,0,0,0,0,0,0,0,0,0,0,10,15.4105,0.8964,0.8964,10.0592,8.018,0,0,0,0,0,1.2112,0.2112,0.352,6.1683,5.5442,0,0,0,0,0,0.3855,0.0672,0.1121,1.9634,1.7648,0,0,0,0,0,0.0076,0.004,0.011,0.3013,0.3052,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,"Switch",8,"y","y","y","AP","59","2","8"
"61","CONSISTEST_T001_L061_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,61,0.024129,0.025157,9.9199,0.2445,0.768,0.2464,0.005,4,9.9199,0.2445,0.768,0.2464,0.005,4,0,0,0,0,0,0,0,0,0,0,0,0,10,9.9199,0,0,0,0,0,0,0,0,0,0.768,0,0,0,0,0,0,0,0,0,0.2445,0,0,0,0,0,0,0,0,0,0.0047,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"Prairie",11,"y","y","y","AP","61","2","5"
"65","CONSISTEST_T001_L065_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,65,0.024129,0.025157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",1,"y","n","n","AP","65","1","55"
"67","CONSISTEST_T001_L067_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,67,0.024129,0.025157,90.0577,24.6547,77.4551,2.7377,7.925,14,90.0577,24.6547,77.4551,2.7377,7.925,14,0,0,0,0,0,0,0,0,0,0,0,0,10,12.437,1.3106,1.3106,1.3328,51.2214,1.6436,1.6436,3.512,1.2181,14.4281,0.9893,0.3088,0.5147,0.7344,35.7049,1.42,1.6782,4.2504,1.6005,30.2539,0.3149,0.0983,0.1638,0.2338,11.3652,0.452,0.5342,1.3529,0.5095,9.6301,0.0063,0.0058,0.0161,0.0322,1.9807,0.0976,0.1364,0.4096,0.1674,5.1446,6,0,0,1,5,0,0,1,0,1,"Corn",2,"y","y","y","AP","67","2","10"
"70","CONSISTEST_T001_L070_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,70,0.024129,0.025157,15.4353,1.8641,5.8562,1.2077,0.284,4,15.4353,1.8641,5.8562,1.2077,0.284,4,0,0,0,0,0,0,0,0,0,0,0,0,10,7.3879,0.356,0.356,0.356,6.9793,0,0,0,0,0,0.5791,0.0839,0.1398,0.1957,4.8576,0,0,0,0,0,0.1843,0.0267,0.0445,0.0623,1.5462,0,0,0,0,0,0.0036,0.0016,0.0044,0.0086,0.2691,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"Misc",5,"y","y","y","AP","70","2","12"
"74","CONSISTEST_T001_L074_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,74,0.024129,0.025157,71.742,11.3553,35.6736,1.5828,1.78,5,71.742,11.3553,35.6736,1.5828,1.78,5,0,0,0,0,0,0,0,0,0,0,0,0,10,18.3423,1.8044,1.8044,18.8997,30.8911,0,0,0,0,0,1.4565,0.4252,0.7086,11.5798,21.5036,0,0,0,0,0,0.4636,0.1353,0.2256,3.686,6.8448,0,0,0,0,0,0.0093,0.008,0.0221,0.5652,1.1912,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,"Prairie",10,"y","y","y","AP","74","1","74"
"81","CONSISTEST_T001_L081_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,81,0.024129,0.025157,74.6368,11.7884,37.0344,1.5794,1.871,5,74.6368,11.7884,37.0344,1.5794,1.871,5,0,0,0,0,0,0,0,0,0,0,0,0,10,20.335,1.2057,1.2057,17.8621,34.0284,0,0,0,0,0,1.5986,0.2841,0.4735,10.9788,23.6995,0,0,0,0,0,0.5089,0.0904,0.1507,3.4947,7.5438,0,0,0,0,0,0.0101,0.0053,0.0148,0.5374,1.3135,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"Prairie",10,"y","y","y","AP","81","1","74"
"87","CONSISTEST_T001_L087_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,87,0.024129,0.025157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",3,"y","n","n","AP","87","3","36"
"90","CONSISTEST_T001_L090_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,90,0.024129,0.025157,4.7673,0.8618,2.7075,1.8078,0.127,2,4.7673,0.8618,2.7075,1.8078,0.127,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0.133,0.2622,0.2622,4.1099,0,0,0,0,0,0,0.0156,0.0618,0.103,2.5271,0,0,0,0,0,0,0.005,0.0197,0.0328,0.8044,0,0,0,0,0,0,1e-04,0.0012,0.0032,0.1238,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Misc",6,"y","y","y","AP","90","3","43"
"92","CONSISTEST_T001_L092_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,92,0.024129,0.025157,5.9281,0.3764,1.1825,0.6349,0.039,2,5.9281,0.3764,1.1825,0.6349,0.039,2,0,0,0,0,0,0,0,0,0,0,0,0,10,4.3614,0.2721,0.2721,0.2721,0.7503,0,0,0,0,0,0.3431,0.0641,0.1069,0.1496,0.5187,0,0,0,0,0,0.1092,0.0204,0.034,0.0476,0.1651,0,0,0,0,0,0.0022,0.0012,0.0033,0.0065,0.0285,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Switch",7,"y","y","y","AP","92","1","92"
"96","CONSISTEST_T001_L096_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,96,0.024129,0.025157,19.9547,3.6171,11.3633,1.8126,0.56,3,19.9547,3.6171,11.3633,1.8126,0.56,3,0,0,0,0,0,0,0,0,0,0,0,0,10,1.9077,0.3793,0.3793,13.0949,4.1937,0,0,0,0,0,0.1553,0.0894,0.1489,8.0844,2.8853,0,0,0,0,0,0.0494,0.0284,0.0474,2.5733,0.9184,0,0,0,0,0,0.001,0.0017,0.0047,0.3973,0.158,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,"Prairie",12,"y","y","y","AP","96","3","28"
"97","CONSISTEST_T001_L097_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,97,0.024129,0.025157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",1,"y","n","n","AP","97","1","55"
"98","CONSISTEST_T001_L098_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,98,0.024129,0.025157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Corn",3,"y","n","n","AP","98","3","36"
"99","CONSISTEST_T001_L099_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:11:47",1,99,0.024129,0.025157,7.787,1.872,5.8811,2.404,0.397,2,7.787,1.872,5.8811,2.404,0.397,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0.1977,0.3899,0.3899,0.3864,4.3252,0.3283,0.3283,1.4411,0,0,0.0232,0.0919,0.1531,0.2122,3.017,0.2837,0.3352,1.7649,0,0,0.0074,0.0292,0.0487,0.0675,0.9603,0.0903,0.1067,0.5618,0,0,2e-04,0.0017,0.0048,0.0093,0.1675,0.0195,0.0272,0.1721,0,0,1,0,0,0,1,0,0,0,0,0,"Switch",9,"y","y","y","AP","99","3","29"
"106","CONSISTEST_T002_L006_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:45:17",2,6,0.024129,0.025157,5.22,0.5909,1.8563,1.132,0.078,2,5.22,0.5909,1.8563,1.132,0.078,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2.2502,0.3581,0.3581,0.9279,1.3256,0,0,0,0,0,0.1814,0.0844,0.1406,0.5501,0.8997,0,0,0,0,0,0.0578,0.0269,0.0448,0.1751,0.2864,0,0,0,0,0,0.0012,0.0016,0.0044,0.026,0.0486,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"Switch",7,"y","y","y","AP","106","1","92"
"107","CONSISTEST_T002_L007_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:45:17",2,7,0.024129,0.025157,88.9853,23.0928,72.5483,2.5951,6.401,14,88.9853,23.0928,72.5483,2.5951,6.401,14,0,0,0,0,0,0,0,0,0,0,0,0,10,8.5896,1.9798,1.9798,7.0791,51.6371,0.6113,0.6113,0.6387,0.8507,15.0079,0.705,0.4665,0.7775,4.2468,35.9596,0.5281,0.6241,0.7543,1.1359,27.3505,0.2244,0.1485,0.2475,1.3518,11.4463,0.1681,0.1987,0.2401,0.3616,8.7059,0.0047,0.0087,0.0243,0.2033,1.9928,0.0363,0.0507,0.0709,0.1207,3.9744,7,0,0,2,4,0,0,0,0,1,"Corn",2,"y","y","y","AP","107","2","10"
"112","CONSISTEST_T002_L012_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:45:17",2,12,0.024129,0.025157,71.6006,11.2092,35.2146,1.5655,1.766,5,71.6006,11.2092,35.2146,1.5655,1.766,5,0,0,0,0,0,0,0,0,0,0,0,0,10,19.6558,1.2456,1.2456,18.9516,30.5021,0,0,0,0,0,1.5469,0.2935,0.4891,11.6509,21.2342,0,0,0,0,0,0.4924,0.0934,0.1557,3.7086,6.759,0,0,0,0,0,0.0098,0.0055,0.0153,0.5704,1.1764,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,"Prairie",10,"y","y","y","AP","112","1","74"
"115","CONSISTEST_T002_L015_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:45:17",2,15,0.024129,0.025157,5.6342,0.1388,0.4362,0.2464,0.003,3,5.6342,0.1388,0.4362,0.2464,0.003,3,0,0,0,0,0,0,0,0,0,0,0,0,10,5.6342,0,0,0,0,0,0,0,0,0,0.4362,0,0,0,0,0,0,0,0,0,0.1388,0,0,0,0,0,0,0,0,0,0.0027,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"Switch",7,"y","y","y","AP","115","1","92"
"119","CONSISTEST_T002_L019_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:45:17",2,19,0.024129,0.025157,18.2967,2.635,8.2779,1.4401,0.471,2,18.2967,2.635,8.2779,1.4401,0.471,2,0,0,0,0,0,0,0,0,0,0,0,0,10,7.4875,0,0,8.4643,0.3784,0.3784,0.3784,1.2096,0,0,0.5797,0,0,5.2424,0.2675,0.3269,0.3864,1.475,0,0,0.1845,0,0,1.6687,0.0851,0.1041,0.123,0.4695,0,0,0.0036,0,0,0.2584,0.015,0.0225,0.0314,0.1432,0,0,1,0,0,1,0,0,0,0,0,0,"Misc",4,"y","y","y","AP","119","1","40"
"124","CONSISTEST_T002_L024_2011.06.06_155541_001_CKB.jpg","6/6/2011","15:45:17",2,24,0.024129,0.025157,4.8204,0.8594,2.6999,1.7828,0.125,2,4.8204,0.8594,2.6999,1.7828,0.125,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0.1549,0.3055,0.3055,4.0544,0,0,0,0,0,0,0.0182,0.072,0.12,2.4897,0,0,0,0,0,0,0.0058,0.0229,0.0382,0.7925,0,0,0,0,0,0,2e-04,0.0013,0.0037,0.1218,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"Misc",6,"y","y","y","AP","124","3","43"
"129","CONSISTEST_T001_L005_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,5,0.023881,0.025172,7.4822,1.1011,3.4591,1.4716,0.127,3,7.4822,1.1011,3.4591,1.4716,0.127,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7.4822,0,0,0,0,0,0,0,0,0,3.4591,0,0,0,0,0,0,0,0,0,1.1011,0,0,0,0,0,0,0,0,0,0.1273,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Prairie",11,"y","y","y","CKB","5","2","5"
"132","CONSISTEST_T001_L008_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,8,0.023881,0.025172,26.3197,5.1254,16.102,1.9474,0.985,8,26.3197,5.1254,16.102,1.9474,0.985,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.0661,7.1196,15.2952,0,0,0,0,0,2.8387,0,0.3288,2.8614,8.756,0,0,0,0,0,4.1558,0,0.1046,0.9108,2.7871,0,0,0,0,0,1.3228,0,0.0081,0.0921,0.4008,0,0,0,0,0,0.4841,0,0,3,4,0,0,0,0,0,1,"Switch",8,"y","y","y","CKB","8","2","8"
"134","CONSISTEST_T001_L010_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,10,0.023881,0.025172,83.6114,34.4088,108.0984,4.1153,14.423,14,83.6114,34.4088,108.0984,4.1153,14.423,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1.9707,6.0371,6.091,1.1749,38.8081,12.6728,1.5215,15.3353,0,0,0.9111,3.7217,4.317,1.015,39.8823,14.9003,1.9945,41.3564,0,0,0.29,1.1846,1.3741,0.3231,12.6949,4.7429,0.6349,13.1641,0,0,0.0335,0.1826,0.2439,0.0698,3.2656,1.3951,0.2082,9.037,0,0,1,2,2,0,3,5,0,1,"Corn",2,"y","y","y","CKB","10","2","10"
"136","CONSISTEST_T001_L012_2011.06.06_155541_001_CKB.jpg","6/7/2011","09:58:41",1,12,0.023881,0.025172,19.1594,4.2428,13.3292,2.2145,0.815,7,19.1594,4.2428,13.3292,2.2145,0.815,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.139,3.0198,8.6457,0.1275,0.1275,6.0999,0,0,0,0,0.3511,1.3963,5.2729,0.0901,0.1102,6.1086,0,0,0,0,0.1117,0.4445,1.6784,0.0287,0.0351,1.9444,0,0,0,0,0.0086,0.0514,0.2562,0.0051,0.0076,0.4868,0,0,0,0,1,2,3,0,0,1,0,0,0,"Misc",5,"y","y","y","CKB","12","2","12"
